"Requirement_ID","Role","Policy_Requirement","Process_Requirement","Competency","Mandatory_Optional","Priority","Source_Document","Source_Section","Assessment_Requirement"
"R001","Customer Support Executive","—","Escalate any unresolved complaint exceeding 24 hours, or involving safety/legal/financial risk, to a Team Leader within 1 business hour of the threshold being identified","Escalation judgment & Tier-2 authority awareness","Mandatory","High","DOC-07","4.2","Scenario quiz: identify when a complaint must escalate to Tier 2"
"R002","Customer Support Executive","—","Acknowledge and attempt first-contact resolution on any incoming customer issue within 2 business hours","First-response SLA management","Mandatory","High","DOC-07","4.1","Practical task: respond to a simulated Tier-1 ticket within SLA"
"R003","Customer Support Executive","—","Log every escalation with ticket ID, customer ID, tier reached, resolution, and time-to-resolution","Escalation documentation discipline","Mandatory","Medium","DOC-07","5","Checklist: complete a sample escalation log entry"
"R004","Customer Support Executive","Treat customers and colleagues with respect and communicate professionally in all channels","—","Customer-facing professional conduct","Mandatory","High","DOC-04","2","Quiz: professional conduct standards"
"R005","Customer Support Executive","Access customer data only through approved, logged tooling during escalation handling — never direct database export","—","Secure customer-data handling","Mandatory","Medium","DOC-06","4","Quiz: approved vs prohibited data-access methods"
"R006","Customer Support Executive","Collect and process customer personal data only with recorded consent for a stated purpose","—","Data-privacy-aware customer handling","Mandatory","Medium","DOC-05","3","Quiz: consent requirements for customer data capture"
"R007","Customer Support Executive","Digitally acknowledge receipt and understanding of the Employee Handbook within 5 business days of joining","—","Policy-acknowledgement compliance","Mandatory","High","DOC-01","9","Checklist item: handbook acknowledgement recorded"
"R008","Customer Support Executive","Submit a medical certificate for any sick leave exceeding 2 consecutive working days","—","Leave-policy awareness","Mandatory","Low","DOC-03","3","Quiz: sick leave documentation rules"
"R009","Sales Executive","—","Confirm budget authority, timeline within 6 months, and a genuine training/HR-tech need before marking a lead Qualified","Lead qualification judgment","Mandatory","Medium","DOC-08","3","Scenario task: qualify or reject a sample lead"
"R010","Sales Executive","—","Log every customer interaction in the CRM within 24 hours","CRM data hygiene","Mandatory","High","DOC-08","4","Practical task: create a compliant CRM entry"
"R011","Sales Executive","—","Route deals of 500,000,000 VND or more to Branch Manager for approval before sending the proposal","Deal-approval threshold awareness","Mandatory","Medium","DOC-08","5","Quiz: identify which deals require Branch Manager approval"
"R012","Sales Executive","—","Use the internal upsell playbook for renewal conversations","Upsell technique (supplementary)","Optional","Low","DOC-08","7","—"
"R013","Sales Executive","Wear business-formal attire during client meetings and site visits","—","Client-facing presentation standard","Mandatory","Low","DOC-04","4.2","Checklist item: dress-code acknowledgement"
"R014","Sales Executive","Obtain informed consent before entering customer contact data collected during prospecting into the CRM","—","Data-privacy-aware prospecting","Mandatory","High","DOC-05","3","Quiz: consent requirements for lead data"
"R015","Sales Executive","Digitally acknowledge receipt and understanding of the Employee Handbook within 5 business days of joining","—","Policy-acknowledgement compliance","Mandatory","High","DOC-01","9","Checklist item: handbook acknowledgement recorded"
"R016","Sales Executive","Accrue and use the standard 12-day annual leave entitlement","—","Leave-policy awareness","Mandatory","Low","DOC-03","2","Quiz: annual leave entitlement"
"R017","HR Executive","—","Verify eligibility and file statutory social-insurance paperwork for maternity/paternity leave within statutory deadlines","Statutory leave compliance filing","Mandatory","High","DOC-03","4","Scenario task: process a sample maternity-leave filing"
"R018","HR Executive","—","Record approved leave and update the employee's entitlement balance after manager approval","Leave-workflow administration","Mandatory","Medium","DOC-03","6","Practical task: process a leave approval end-to-end"
"R019","HR Executive","Receive and handle anti-harassment/anti-discrimination reports immediately upon escalation","—","Harassment-complaint intake & handling","Mandatory","High","DOC-04","3","Scenario task: intake a harassment complaint correctly"
"R020","HR Executive","Receive conflict-of-interest disclosures within 10 business days of the conflict arising","—","Conflict-of-interest intake","Mandatory","Medium","DOC-04","5","Quiz: conflict-of-interest disclosure process"
"R021","HR Executive","Access employee personal records restricted to HR-necessary fields only","—","Least-privilege data access (HR)","Mandatory","High","DOC-05","4","Quiz: HR data-access boundaries"
"R022","HR Executive","—","Act as Data Privacy Officer: notify affected individuals within statutory deadlines following a confirmed breach","Breach-notification response","Mandatory","High","DOC-05","7","Scenario task: draft a breach notification within deadline"
"R023","HR Executive","Digitally acknowledge receipt and understanding of the Employee Handbook within 5 business days of joining","—","Policy-acknowledgement compliance","Mandatory","High","DOC-01","9","Checklist item: handbook acknowledgement recorded"
"R024","HR Executive","Accrue and use the standard 12-day annual leave entitlement","—","Leave-policy awareness","Mandatory","Low","DOC-03","2","Quiz: annual leave entitlement"
"R025","Finance Associate","—","Verify every expense claim's original receipts and documentation before approval processing","Expense-claim verification","Mandatory","High","DOC-09","3","Practical task: verify a sample expense claim"
"R026","Finance Associate","—","Apply the approval matrix: claims of 5,000,000 VND or more require Branch Manager approval in addition to the direct manager","Reimbursement approval-threshold judgment","Mandatory","High","DOC-09","4","Quiz: identify which claims need Branch Manager sign-off"
"R027","Finance Associate","—","Pay approved claims within 10 business days of verification","Reimbursement SLA management","Mandatory","Medium","DOC-09","5","Checklist item: reimbursement timeline compliance"
"R028","Finance Associate","Store receipt images containing personal payment data per the Data Privacy Policy retention schedule, not indefinitely","—","Financial-record data retention","Mandatory","Medium","DOC-09","7","Quiz: receipt-data retention limits"
"R029","Finance Associate","Access only payment and reimbursement data, per role-based least-privilege rules","—","Least-privilege data access (Finance)","Mandatory","High","DOC-05","4","Quiz: Finance data-access boundaries"
"R030","Finance Associate","Use multi-factor authentication for all systems handling financial data","—","Financial-systems access security","Mandatory","High","DOC-06","2","Checklist item: MFA enabled on finance systems"
"R031","Finance Associate","Digitally acknowledge receipt and understanding of the Employee Handbook within 5 business days of joining","—","Policy-acknowledgement compliance","Mandatory","High","DOC-01","9","Checklist item: handbook acknowledgement recorded"
"R032","Finance Associate","Accrue and use the standard 12-day annual leave entitlement","—","Leave-policy awareness","Mandatory","Low","DOC-03","2","Quiz: annual leave entitlement"
"R033","Operations Coordinator","Comply with the office dress code, except while on approved field visits to partner schools","—","Field-vs-office conduct judgment","Mandatory","Low","DOC-04","7","Quiz: when the dress-code exception applies"
"R034","Operations Coordinator","Treat colleagues, customers, and partners with respect and communicate professionally, including during field visits","—","Field-professional conduct","Mandatory","High","DOC-04","2","Quiz: professional conduct standards"
"R035","Operations Coordinator","Use only company-approved software and devices when accessing company systems","—","Acceptable-use compliance","Mandatory","Medium","DOC-06","3","Quiz: acceptable use of company systems"
"R036","Operations Coordinator","Access company systems remotely only via company VPN and an approved, encrypted device during field work","—","Remote/field access security","Mandatory","Medium","DOC-06","6","Checklist item: VPN and device compliance for field visits"
"R037","Operations Coordinator","Collect partner-school data only for a stated purpose, with recorded consent","—","Data-privacy-aware field data collection","Mandatory","Medium","DOC-05","3","Quiz: consent requirements for field-collected data"
